Date,Open,High,Low,Close,Adj Close,Volume
2004/3/19,103.050003,103.279999,101.870003,101.940002,66.230766,7337600
2004/3/22,101.300003,101.32,100.190002,100.720001,65.438179,9303500
2004/3/23,101.129997,101.43,100.580002,100.650002,65.392647,8777700
2004/3/24,100.779999,101.209999,100.120003,100.709999,65.431679,8309600
2004/3/25,101.199997,102.370003,100.989998,102.160004,66.373695,7684300
2004/3/26,102.099998,102.849998,101.870003,102.199997,66.399742,5376500
2004/3/29,102.900002,103.620003,102.860001,103.519997,67.257301,6766500
2004/3/30,103.349998,104.059998,103.199997,104,67.56913,4685000
2004/3/31,103.900002,104.209999,103.290001,103.919998,67.517174,6973100
2004/4/1,103.599998,104.370003,103.559998,104.080002,67.621109,7655300
2004/4/2,105.150002,105.239998,104.400002,104.959999,68.192825,7605000
2004/4/5,104.940002,105.809998,104.769997,105.660004,68.647659,3395500
2004/4/6,105.300003,105.910004,105.199997,105.639999,68.634712,3779800
2004/4/7,105.650002,105.669998,104.839996,105.300003,68.413803,5364600
2004/4/8,105.919998,105.949997,104.099998,104.690002,68.017456,5463200
2004/4/12,104.879997,105.470001,104.860001,105.309998,68.420265,3299300
2004/4/13,105.699997,105.790001,103.82,103.839996,67.465187,6847900
2004/4/14,103.459999,104.360001,103.330002,104.220001,67.712044,8778900
2004/4/15,104.220001,104.529999,103.400002,103.879997,67.491219,7101300
2004/4/16,104.260002,104.75,103.860001,104.660004,68.036644,5904400
2004/4/19,104.419998,104.669998,104.099998,104.470001,67.913055,3748300
2004/4/20,104.769997,104.989998,102.849998,103.029999,66.977013,6431100
2004/4/21,103.199997,103.5,102.599998,103.300003,67.152519,8370700
2004/4/22,103.199997,105.169998,103.120003,104.809998,68.134102,9166100
2004/4/23,104.75,105.010002,104.279999,104.919998,68.20562,4820600
2004/4/26,104.93,105.339996,104.360001,104.949997,68.225136,3700700
2004/4/27,104.919998,105.589996,104.75,105.059998,68.296654,5690900
2004/4/28,104.75,104.75,103.5,103.769997,67.458069,8846500
2004/4/29,103.82,104.269997,102.349998,103.059998,66.99649,11963400
2004/4/30,103.300003,103.550003,102.349998,102.349998,66.534943,6158900
2004/5/3,102.669998,103.519997,102.660004,103.300003,67.152519,6128000
2004/5/4,103.360001,104.139999,102.879997,103.129997,67.041992,7694500
2004/5/5,103.449997,103.720001,103.110001,103.459999,67.256523,3496600
2004/5/6,102.82,103.18,101.910004,102.599998,66.697449,9045900
2004/5/7,102.07,103.029999,101.150002,101.150002,65.754852,8867700
2004/5/10,100.610001,101,99.519997,99.910004,64.948753,17582000
2004/5/11,100.459999,100.650002,100,100.239998,65.163277,8772500
2004/5/12,100.120003,101.040001,98.809998,100.989998,65.650841,16597400
2004/5/13,100.32,101.080002,99.989998,100.230003,65.156784,10827100
2004/5/14,100.199997,101,99.720001,100.449997,65.299812,8797800
2004/5/17,99.5,99.970001,98.989998,99.559998,64.72123,6814900
2004/5/18,99.849998,100.239998,99.599998,99.970001,64.98774,6481600
2004/5/19,100.82,101.400002,99.650002,99.699997,64.812233,8893400
2004/5/20,99.879997,100.150002,99.419998,100.019997,65.020264,8190900
